,web_browser,operating_sys,from_URL,to_URL,city,time_zone,longitude,latitude,time_in,time_out
25,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Kuala Lumpur,Asia/Kuala_Lumpur,3.1667,101.699997,2012-03-16 18:34:14,2012-03-16 18:41:09
26,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Nicosia,Asia/Nicosia,35.166698,33.366699,2012-03-16 18:34:14,2012-03-16 18:41:08
27,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,SPaulo,America/Sao_Paulo,-23.5333,-46.616699,2012-03-16 18:37:48,2012-03-16 18:41:09
30,Mozilla/5.0,Windows,plus.url.google.com,www.nasa.gov,Huddersfield,Europe/London,53.650002,-1.7833,2012-03-16 18:34:14,2012-03-16 18:41:11
31,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Fairport,America/New_York,43.100498,-77.426003,2012-03-16 18:34:14,2012-03-16 18:41:11
32,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Honolulu,Pacific/Honolulu,21.3139,-157.824493,2012-03-16 18:31:49,2012-03-16 18:41:16
33,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,Knoxville,America/Chicago,35.972401,-83.959503,2012-03-15 15:26:40,2012-03-16 18:41:15
36,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Honolulu,Pacific/Honolulu,21.3139,-157.824493,2012-03-16 18:31:49,2012-03-16 18:41:18
38,Mozilla/4.0,Windows,direct,citizencorps.gov,Washington,America/New_York,38.897099,-77.040901,2012-03-13 19:04:03,2012-03-16 18:41:19
39,Mozilla/5.0,Windows,direct,www.nysdot.gov,Stamford,America/New_York,41.097801,-73.518799,2011-10-25 17:25:56,2012-03-16 18:41:19
40,Mozilla/5.0,iPhone,direct,radar.weather.gov,Bronx,America/New_York,40.849899,-73.8769,2009-07-07 13:59:00,2012-03-16 18:41:19
41,Mozilla/5.0,Windows,www.facebook.com,www.tricare.mil,Saint Louis,America/Chicago,38.6143,-90.444397,2012-02-26 00:57:09,2012-03-16 18:41:21
42,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Rome,Europe/Rome,41.900002,12.4833,2012-03-16 18:34:14,2012-03-16 18:41:20
43,Mozilla/5.0,Windows,direct,www.nysdot.gov,Dudley,America/New_York,42.059399,-71.9356,2011-10-25 17:25:56,2012-03-16 18:41:21
44,Mozilla/5.0,iPhone,direct,www.irs.gov,Bowie,America/New_York,38.9576,-76.756599,2012-02-09 00:00:36,2012-03-16 18:41:21
45,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,Los Angeles,America/Los_Angeles,34.065701,-118.436203,2011-10-25 17:25:56,2012-03-16 18:41:24
48,Mozilla/5.0,Windows,direct,www.nysdot.gov,Savannah,America/New_York,31.997101,-80.9645,2011-10-25 17:25:56,2012-03-16 18:41:24
49,Mozilla/4.0,Windows,www.aashtojournal.org,www.senate.gov,Washington,America/New_York,38.909698,-77.023102,2012-03-15 23:18:05,2012-03-16 18:41:25
50,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Sliema,Europe/Malta,35.912498,14.5019,2012-03-16 18:34:14,2012-03-16 18:41:28
51,Mozilla/5.0,Linux,m.facebook.com,www.nasa.gov,Woodbridge,America/New_York,38.625702,-77.266502,2012-03-16 18:34:14,2012-03-16 18:41:28
52,Mozilla/5.0,Windows,t.co,www.nature.nps.gov,Grand Rapids,America/New_York,42.977699,-85.710999,2012-03-16 18:17:13,2012-03-16 18:41:27
54,Mozilla/4.0,Windows,t.co,www.whitehouse.gov,Chula Vista,America/Los_Angeles,32.636101,-117.0532,2012-03-16 18:01:19,2012-03-16 18:41:31
56,Mozilla/5.0,Windows,t.co,apod.nasa.gov,Curitiba,America/Sao_Paulo,-25.4167,-49.25,2012-03-16 18:37:48,2012-03-16 18:41:32
58,Mozilla/5.0,iPhone,lalaf.com,www.usno.navy.mil,Central District,Asia/Hong_Kong,22.2833,114.150002,2011-09-29 17:40:39,2012-03-16 18:41:32
59,Mozilla/5.0,iPhone,lalaf.com,www.ssd.noaa.gov,Central District,Asia/Hong_Kong,22.2833,114.150002,2011-09-29 17:40:30,2012-03-16 18:41:32
60,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Honolulu,Pacific/Honolulu,21.3139,-157.824493,2012-03-16 18:31:49,2012-03-16 18:41:34
61,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Honolulu,Pacific/Honolulu,21.3139,-157.824493,2012-03-16 18:31:49,2012-03-16 18:41:35
62,Mozilla/4.0,Windows,direct,www.navy.mil,Honolulu,Pacific/Honolulu,21.3139,-157.824493,2012-03-16 18:16:41,2012-03-16 18:41:35
63,Mozilla/5.0,Windows,t.co,www.cbo.gov,Cambridge,America/New_York,42.3741,-71.107201,2012-03-16 14:41:30,2012-03-16 18:41:36
64,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Birmingham,Europe/London,52.466702,-1.9167,2012-03-16 18:08:12,2012-03-16 18:41:37
65,Mozilla/4.0,Windows,direct,www.fda.gov,Paramus,America/New_York,40.9445,-74.07,2011-03-28 07:47:59,2012-03-16 18:41:36
67,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Lisboa,Europe/Lisbon,38.716702,-9.1333,2012-03-16 14:30:47,2012-03-16 18:41:38
68,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Lambersart,Europe/Paris,50.650002,3.0333,2012-03-16 18:34:14,2012-03-16 18:41:38
69,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Bodmin,Europe/London,50.4664,-4.7256,2012-03-16 18:34:14,2012-03-16 18:41:40
70,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,Herning,Europe/Copenhagen,56.133301,8.9833,2012-03-16 18:34:14,2012-03-16 18:41:39
72,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Piombino,Europe/Rome,42.916698,10.5333,2012-03-16 18:34:14,2012-03-16 18:41:41
73,Mozilla/5.0,Windows,direct,www.nysdot.gov,Grand Rapids,America/New_York,42.942501,-85.616096,2011-10-25 17:25:56,2012-03-16 18:41:40
74,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,White Plains,America/New_York,41.029099,-73.758003,2011-10-25 17:25:56,2012-03-16 18:41:42
76,Mozilla/5.0,iPhone,direct,apod.nasa.gov,London,Europe/London,51.500198,-0.1262,2011-03-29 10:06:11,2012-03-16 18:41:44
77,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Rome,Europe/Rome,41.900002,12.4833,2012-03-16 18:34:14,2012-03-16 18:41:43
78,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Columbus,America/New_York,40.028999,-83.080902,2012-03-16 13:50:29,2012-03-16 18:41:44
79,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,Mesquite,America/Chicago,32.7673,-96.624702,2012-03-16 18:34:14,2012-03-16 18:41:44
80,Mozilla/4.0,Windows,stocktwits.com,www.federalreserve.gov,Farmington,America/New_York,41.725201,-72.829498,2012-03-16 10:20:47,2012-03-16 18:41:45
81,Mozilla/4.0,Windows,www.facebook.com,www.nasa.gov,Limeil-brnnes,Europe/Paris,48.733299,2.4833,2012-03-16 18:34:14,2012-03-16 18:41:45
85,Mozilla/5.0,Windows,direct,www.energy.ca.gov,San Francisco,America/Los_Angeles,37.7645,-122.429398,2011-04-26 18:49:29,2012-03-16 18:41:49
86,NokiaC3-00/5.0,Macintosh),t.co,www.nasa.gov,Durango,America/Mazatlan,24.0333,-104.666702,2012-03-16 14:30:47,2012-03-16 18:41:53
88,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Dublin,Europe/Dublin,53.333099,-6.2489,2012-03-16 18:34:14,2012-03-16 18:41:55
89,Mozilla/4.0,Windows,direct,toxtown.nlm.nih.gov,Kennesaw,America/New_York,34.010399,-84.623901,2009-10-17 08:57:26,2012-03-16 18:41:57
90,Mozilla/5.0,Windows,forum2.hkgolden.com,www.usno.navy.mil,A Po Long,Asia/Hong_Kong,22.2833,114.0,2011-09-29 17:40:39,2012-03-16 18:41:57
91,Mozilla/5.0,Windows,forum2.hkgolden.com,www.ssd.noaa.gov,A Po Long,Asia/Hong_Kong,22.2833,114.0,2011-09-29 17:40:30,2012-03-16 18:41:57
93,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,White Plains,America/New_York,41.029099,-73.758003,2011-10-25 17:25:56,2012-03-16 18:42:02
95,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Jersey City,America/New_York,40.692501,-74.070396,2012-03-16 18:34:14,2012-03-16 18:42:03
96,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Li,Europe/Brussels,50.633301,5.5667,2012-03-16 18:34:14,2012-03-16 18:42:04
97,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,Curitiba,America/Sao_Paulo,-25.4167,-49.25,2012-03-16 18:37:48,2012-03-16 18:42:04
98,Mozilla/5.0,Windows,direct,www.nysdot.gov,Warrington,America/New_York,40.248901,-75.149803,2011-10-25 17:25:56,2012-03-16 18:42:05
99,Mozilla/5.0,iPad,direct,www.nps.gov,Surrey,America/Vancouver,49.136398,-122.821297,2012-03-11 21:50:17,2012-03-16 18:42:05
100,Mozilla/5.0,Windows,direct,www.nysdot.gov,Mount Laurel,America/New_York,39.957199,-74.916199,2011-10-25 17:25:56,2012-03-16 18:42:05
101,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Tholen,Europe/Amsterdam,51.533298,4.2167,2012-03-16 18:34:14,2012-03-16 18:42:06
102,Opera/9.80,Windows,direct,www.nasa.gov,Brno,Europe/Prague,49.200001,16.633301,2012-03-16 14:30:47,2012-03-16 18:42:07
103,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Woodbridge,America/New_York,38.678001,-77.319702,2012-03-16 13:50:29,2012-03-16 18:42:08
106,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Burke,America/New_York,38.785099,-77.286598,2012-03-16 18:34:14,2012-03-16 18:42:11
107,Mozilla/5.0,iPhone,twitter.com,www.whitehouse.gov,Ruther Glen,America/New_York,37.955002,-77.437202,2012-03-15 19:47:36,2012-03-16 18:42:12
108,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Stockholm,Europe/Stockholm,59.333302,18.049999,2012-03-16 18:34:14,2012-03-16 18:42:13
109,Mozilla/5.0,Windows,t.co,www.nasa.gov,Hartland,America/New_York,43.574299,-72.408096,2012-03-14 18:23:49,2012-03-16 18:42:14
110,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Belo Horizonte,America/Sao_Paulo,-19.9167,-43.9333,2012-03-16 18:34:14,2012-03-16 18:42:15
111,Mozilla/4.0,Windows,direct,www.grants.gov,Bethel,America/Anchorage,60.9324,-161.800598,2012-03-08 14:55:39,2012-03-16 18:42:15
112,Mozilla/4.0,Windows,direct,patft.uspto.gov,Brooklyn,America/New_York,40.6525,-73.955399,2012-02-20 21:45:30,2012-03-16 18:42:16
113,Mozilla/5.0,Windows,t.co,radar.weather.gov,Larchmont,America/New_York,40.933399,-73.756302,2009-07-07 13:59:00,2012-03-16 18:42:16
114,Mozilla/5.0,Windows,direct,www2.ed.gov,Columbus,America/New_York,40.0532,-83.022003,2011-07-12 16:27:39,2012-03-16 18:42:16
115,Mozilla/4.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:55:06,2012-03-16 18:42:16
116,Mozilla/4.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:53:31,2012-03-16 18:42:16
117,Mozilla/5.0,iPad,m.facebook.com,www.nasa.gov,Melaka,Asia/Kuala_Lumpur,2.1969,102.2481,2012-03-16 18:34:14,2012-03-16 18:42:17
120,Mozilla/4.0,Windows,direct,www.nasa.gov,Houston,America/Chicago,29.775499,-95.415199,2012-02-29 18:21:26,2012-03-16 18:42:19
121,Mozilla/5.0,Windows,t.co,www.nasa.gov,Huntsville,America/Chicago,34.719299,-86.560402,2012-03-16 18:34:14,2012-03-16 18:42:19
122,Mozilla/4.0,Windows,direct,studentaid.ed.gov,Needham,America/New_York,42.279301,-71.245003,2011-06-22 14:08:11,2012-03-16 18:42:19
123,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Si Sa Ket,Asia/Bangkok,15.1167,104.333298,2012-03-16 18:34:14,2012-03-16 18:42:21
124,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,Oldenburg,Europe/Berlin,53.166698,8.2,2012-03-16 14:30:47,2012-03-16 18:42:21
125,Mozilla/6.0,Windows,direct,www.federalreserve.gov,Bellevue,America/Los_Angeles,47.615398,-122.210297,2012-03-12 21:03:12,2012-03-16 18:42:23
126,Mozilla/5.0,Windows,36ohk6dgmcd1n-c.c.yom.mail.yahoo.net,www.srh.noaa.gov,Albuquerque,America/Denver,35.102501,-106.611702,2012-03-06 04:15:07,2012-03-16 18:42:22
127,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Crespellano,Europe/Rome,44.516701,11.1167,2012-03-16 18:34:14,2012-03-16 18:42:22
128,Mozilla/5.0,Macintosh,www.facebook.com,www.jpl.nasa.gov,Yalaha,America/New_York,28.734699,-81.819702,2012-03-14 18:48:34,2012-03-16 18:42:23
130,Mozilla/5.0,Windows,direct,forecast.weather.gov,Summerville,America/New_York,32.964699,-80.2015,2011-08-02 10:26:49,2012-03-16 18:42:25
131,Mozilla/5.0,Windows,t.co,www.nasa.gov,Toronto,America/Rainy_River,43.666698,-79.416702,2012-03-16 18:34:14,2012-03-16 18:42:28
132,Mozilla/4.0,Windows,www.aashtojournal.org,thomas.loc.gov,Washington,America/New_York,38.909698,-77.023102,2011-11-09 17:20:36,2012-03-16 18:42:29
133,Mozilla/4.0,Windows,www.aashtojournal.org,www.dot.ca.gov,Berkeley,America/Los_Angeles,37.878101,-122.271004,2012-03-14 20:42:43,2012-03-16 18:42:31
134,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,Cincinnati,America/New_York,39.169899,-84.485901,2012-03-16 14:30:47,2012-03-16 18:42:31
136,Mozilla/5.0,Windows,www.srh.noaa.gov,www.srh.noaa.gov,Albuquerque,America/Denver,35.102501,-106.611702,2012-03-16 09:03:06,2012-03-16 18:42:32
137,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Vernon Rockville,America/New_York,41.836498,-72.463203,2012-03-16 18:34:14,2012-03-16 18:42:32
138,Mozilla/5.0,Macintosh,t.co,www.nature.nps.gov,Brooklyn,America/New_York,40.702099,-73.942299,2012-03-16 18:17:13,2012-03-16 18:42:35
139,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Cracow,Europe/Warsaw,50.083302,19.9167,2012-03-16 18:34:14,2012-03-16 18:42:37
140,Mozilla/5.0,Windows,direct,www.nysdot.gov,Laurel,America/New_York,39.096699,-76.877899,2011-10-25 17:25:56,2012-03-16 18:42:38
141,Mozilla/4.0,Windows,direct,www.fbi.gov,Annandale,America/New_York,38.8381,-77.212097,2012-03-16 15:10:06,2012-03-16 18:42:38
142,Mozilla/4.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:53:31,2012-03-16 18:42:39
143,Mozilla/4.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:55:06,2012-03-16 18:42:39
144,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Sorrento,Europe/Rome,40.616699,14.3667,2012-03-16 18:34:14,2012-03-16 18:42:40
145,Mozilla/5.0,Windows,www.facebook.com,nationalmap.gov,Austin,America/Chicago,30.4,-97.7528,2011-08-24 19:33:44,2012-03-16 18:42:39
146,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Cracow,Europe/Warsaw,50.083302,19.9167,2012-03-16 18:34:14,2012-03-16 18:42:41
147,Mozilla/5.0,iPhone,direct,www.healthcare.gov,Colorado Springs,America/Denver,38.8326,-104.740501,2012-03-16 17:24:51,2012-03-16 18:42:42
148,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Zdunska Wola,Europe/Warsaw,51.599998,18.9333,2012-03-16 18:34:14,2012-03-16 18:42:43
149,Mozilla/5.0,Windows,direct,www.nasa.gov,Catania,Europe/Rome,37.5,15.1,2012-03-16 18:34:14,2012-03-16 18:42:45
150,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,White Plains,America/New_York,41.029099,-73.758003,2011-10-25 17:25:56,2012-03-16 18:42:49
151,Mozilla/5.0,Windows,t.co,www.cdc.gov,Torrance,America/Los_Angeles,33.835201,-118.328903,2012-03-09 00:48:20,2012-03-16 18:42:48
153,Mozilla/5.0,Macintosh,plus.url.google.com,www.nasa.gov,Seattle,America/Los_Angeles,47.5951,-122.332603,2012-03-16 18:34:14,2012-03-16 18:42:51
154,Mozilla/4.0,Windows,direct,www.navy.mil,Mililani,Pacific/Honolulu,21.4701,-157.963699,2012-03-16 18:16:41,2012-03-16 18:42:51
155,Mozilla/5.0,Windows,direct,www.nysdot.gov,Alexandria,America/New_York,38.790901,-77.094704,2011-10-25 17:25:56,2012-03-16 18:42:51
157,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Vordorf,Europe/Berlin,52.366699,10.5333,2012-03-16 18:34:14,2012-03-16 18:42:53
159,Mozilla/5.0,iPad,twitter.com,www.whitehouse.gov,Milan,America/Chicago,35.925098,-88.785797,2012-03-15 19:47:36,2012-03-16 18:42:57
160,Mozilla/5.0,Windows,direct,earthobservatory.nasa.gov,Dallas,America/Chicago,32.782501,-96.820702,2012-01-23 21:55:42,2012-03-16 18:42:58
161,Mozilla/5.0,Windows,direct,www.nysdot.gov,Philadelphia,America/New_York,39.996799,-75.148499,2011-10-25 17:25:56,2012-03-16 18:42:59
162,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Prague,Europe/Prague,50.083302,14.4667,2012-03-16 18:34:14,2012-03-16 18:43:00
165,Mozilla/5.0,Windows,direct,www.nasa.gov,Dallas,America/Chicago,32.782501,-96.820702,2012-01-20 18:54:52,2012-03-16 18:43:02
166,Mozilla/5.0,Windows,t.co,www.nlm.nih.gov,Barcelona,Europe/Madrid,41.383301,2.1833,2012-03-16 17:24:01,2012-03-16 18:43:03
167,Mozilla/5.0,Windows,t.co,www.nasa.gov,Rio De Janeiro,America/Sao_Paulo,-22.9,-43.233299,2012-03-16 17:20:14,2012-03-16 18:43:03
168,Mozilla/5.0,Windows,t.co,www.fairfaxcounty.gov,Morrisville,America/New_York,40.195702,-74.812698,2012-03-16 16:50:58,2012-03-16 18:43:05
171,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Kiskunhalas,Europe/Budapest,46.4314,19.487499,2012-03-16 14:30:47,2012-03-16 18:43:07
172,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Bangkok,Asia/Bangkok,13.75,100.516701,2012-03-16 18:34:14,2012-03-16 18:43:07
174,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,Danville,America/Los_Angeles,37.812901,-121.974297,2011-10-25 17:25:56,2012-03-16 18:43:10
176,Mozilla/5.0,iPhone,direct,www.nasa.gov,Fairbanks,America/Anchorage,64.818497,-147.721603,2012-03-16 18:34:14,2012-03-16 18:43:10
177,Mozilla/5.0,Windows,direct,www.nysdot.gov,Allentown,America/New_York,40.567799,-75.482803,2011-10-25 17:25:56,2012-03-16 18:43:11
178,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Gliwice,Europe/Warsaw,50.283298,18.6667,2012-03-16 18:34:14,2012-03-16 18:43:16
179,Mozilla/5.0,Windows,t.co,www.cdc.gov,New Iberia,America/Chicago,29.957899,-91.872101,2012-03-16 18:13:38,2012-03-16 18:43:16
180,Mozilla/5.0,Windows,t.co,www.cbo.gov,Cumming,America/New_York,34.188202,-84.159203,2012-03-16 14:41:30,2012-03-16 18:43:17
183,Mozilla/4.0,Windows,t.co,earthobservatory.nasa.gov,Torrevieja,Europe/Madrid,37.983299,-0.6833,2011-11-11 21:39:53,2012-03-16 18:43:19
184,Mozilla/5.0,iPhone,t.co,www.ncbi.nlm.nih.gov,Tokyo,Asia/Tokyo,35.685001,139.751404,2012-03-16 14:33:15,2012-03-16 18:43:17
185,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,American Fork,America/Denver,40.393002,-111.783798,2012-03-16 18:34:14,2012-03-16 18:43:20
186,Mozilla/5.0,PLAYSTATION,m.facebook.com,www.nasa.gov,Stockport,Europe/London,53.400002,-2.15,2012-03-16 18:34:14,2012-03-16 18:43:25
188,Mozilla/5.0,Windows,direct,www.nysdot.gov,Raleigh,America/New_York,35.8713,-78.539398,2011-10-25 17:25:56,2012-03-16 18:43:26
189,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Mililani,Pacific/Honolulu,21.4701,-157.963699,2012-03-16 18:31:49,2012-03-16 18:43:27
190,Mozilla/5.0,Windows,www.facebook.com,www.whitehouse.gov,Grinnell,America/Chicago,41.721699,-92.717598,2012-03-16 06:06:16,2012-03-16 18:43:28
191,Mozilla/4.0,Windows,nationalmap.gov,nationalmap.gov,Ashburn,America/New_York,39.016499,-77.506203,2011-06-03 16:07:10,2012-03-16 18:43:29
192,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Jochberg,Europe/Vienna,47.383301,12.4,2012-03-16 18:08:11,2012-03-16 18:43:31
194,Mozilla/5.0,Windows,direct,www.nysdot.gov,Stuart,America/New_York,27.077499,-80.258698,2011-10-25 17:25:56,2012-03-16 18:43:31
195,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,White Plains,America/New_York,41.029099,-73.758003,2011-10-25 17:25:56,2012-03-16 18:43:32
196,Mozilla/5.0,Windows,plus.url.google.com,www.nasa.gov,Denver,America/Denver,39.743698,-104.979301,2012-03-16 18:34:14,2012-03-16 18:43:32
197,Mozilla/5.0,Windows,direct,www.whitehouse.gov,Dallas,America/Chicago,32.782501,-96.820702,2012-01-18 20:33:01,2012-03-16 18:43:33
198,Mozilla/4.0,Windows,direct,www.cnic.navy.mil,Mililani,Pacific/Honolulu,21.4701,-157.963699,2012-03-16 18:31:49,2012-03-16 18:43:35
199,Mozilla/5.0,Linux,t.co,www.fbi.gov,Grand Rapids,America/New_York,42.9384,-85.6436,2012-03-16 18:10:21,2012-03-16 18:43:35
200,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Tucson,America/Phoenix,32.2132,-110.887299,2012-03-16 18:34:14,2012-03-16 18:43:35
201,Mozilla/4.0,Windows,direct,toxtown.nlm.nih.gov,Marietta,America/New_York,33.953201,-84.5177,2009-10-17 08:57:26,2012-03-16 18:43:37
203,Mozilla/5.0,Macintosh,direct,www.federalreserve.gov,Bellevue,America/Los_Angeles,47.615398,-122.210297,2012-03-12 21:03:12,2012-03-16 18:43:42
204,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Lisbon,Europe/Lisbon,38.716702,-9.1333,2012-03-16 18:34:14,2012-03-16 18:43:42
205,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,San Francisco,America/Los_Angeles,37.7645,-122.429398,2011-10-25 17:25:56,2012-03-16 18:43:41
206,Mozilla/5.0,Windows,direct,toxtown.nlm.nih.gov,Marietta,America/New_York,33.953201,-84.5177,2009-10-17 08:57:26,2012-03-16 18:43:44
207,Mozilla/5.0,Linux,t.co,www.nasa.gov,Abanilla,Europe/Madrid,38.200001,-1.05,2012-03-13 20:33:30,2012-03-16 18:43:44
209,Mozilla/4.0,Windows,direct,www.navy.mil,Mililani,Pacific/Honolulu,21.4701,-157.963699,2012-03-16 18:27:33,2012-03-16 18:43:46
210,Mozilla/4.0,Windows,direct,www.navy.mil,Mililani,Pacific/Honolulu,21.4701,-157.963699,2012-03-16 18:27:33,2012-03-16 18:43:47
212,Mozilla/5.0,Windows,t.co,www.nasa.gov,Saint Paul,America/Chicago,44.9487,-93.100197,2012-03-16 18:31:05,2012-03-16 18:43:46
213,Mozilla/5.0,Windows,direct,www.nysdot.gov,San Jose,America/Los_Angeles,37.387402,-121.902397,2011-10-25 17:25:56,2012-03-16 18:43:46
